category,name,new,details,image-src,price,on_sale
Skin Tool,Cleansing Duo Face Brush,null,Soft face cleansing brush to deep clean skin,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw9073b38b/2021/57018_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$14.00,null
Skin Tool,Pore Refining Brush and Mask Tool,null,"Face mask brush for a mess-free, clean application",null,$6.00,null
Skin Tool,Shine Eraser,null,"These amazing little sheets instantly absorb oil, minimize pores and transforms shiny skin into gorgeous matte perfection. Woven texture eradicates shine and keeps skin matte for hours. Green Tea Extract helps re-texturize skin and mask facial imperfections. Travel pack fits neatly into your purse for on-the-go touch-ups. 30 sheets included. ",null,$3.00,null
Skin Tool,Cleansing Cloud Duo,null,Soft reusable makeup remover pads (two pack),https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw2306c43c/2020/84195_TBAPP_Kit_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$6.00,null
Skin Tool,Jade Roller,null,Jade facial roller to massage & de-stress skin,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw19a9fd70/2021/84220_SCTLS_OpenA_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$10.00,null
Skin Tool,Exfoliator,null,Silicone exfoliating face pad cleanses skin,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw3d7dde0f/2022/MayLaunches-Tool/57105_Open_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,null,$5.00
Skin Tool,Gua Sha Tool,null,Jade facial massage stone to improve complexion,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw8f244ffb/2022/JulyLaunches-Skin/57106_Open_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$8.00,null
Sunscreen,Camo CC Cream,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/on/demandware.static/-/Library-Sites-elfSharedLibrary/default/dw8477b016/badges/PDP_VIRAL_BADGE-sm-min.png?yocs=F_J_,Full-coverage color correcting foundation with SPF,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw69cbbc87/2021/82862_FCFND_OpenA_C.jpg?sw=150&sh=150&sm=fit&sfrm=jpg&strip=false&yocs=F_J_,$15.00,null
Sunscreen,Holy Hydration! Face Cream - SPF 30,null,Ultra-hydrating face cream with SPF protection,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw844fd0d8/2022/HolyHydration!NewPackaging/81570-HH!FaceCreamSPF30/elf.com/81570_SCMOI_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$13.00,null
Makeup Remover,Makeup Remover Cleansing Cloths - 2 Pack,null,"These pre-moistened cleansing cloths remove all traces of face and eye makeup (yes, even waterproof mascara), oil, and impurities in just one swipe—no water, no scrubbing, no irritation. Soft yet effective, each wipe is saturated with soothing and hydrating ingredients that renew and prep your skin for the rest of your routine. Added perk: the convenient resealable package is perfect for stashing in your tote for skincare on the go.",https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dwc60b8ca4/85153_SILO.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$6.00,null
Makeup Remover,Holy Hydration! Makeup Melting Cleansing Balm,null,Hydrating cleansing balm to remove makeup,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw44d0f80d/2022/HolyHydration!NewPackaging/59910_SCREM_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$11.00,null
Face Mist,Hydrating Primer Mist,null,Hydrating primer setting spray for radiant skin,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dwe8ffe237/57028_hydratingprimermist_componentclosed-main_050119.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$10.00,null
Face Mist,Oil Control Primer Mist,null,Matte primer setting spray to reduce shine,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw5a12a3dd/57055_oilcontrolprimermist_componentclosed.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$10.00,null
Face Mist,Matte Magic Mist & Set - Small,null,"Ready, set, flawless makeup and skin. This fine, clear makeup setting mist helps lock your look into place for a beautiful matte finish that lasts. After applying makeup, mist the lightweight formula over your face to keep your makeup from running or fading, control shine, and refresh your look throughout the day. Plus, it's infused with skin-loving vitamins B & E plus Arctium Majus Root to deliver hydrating and soothing benefits for healthy-looking skin.",https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw31b03e00/Small.jpg?sw=70&sh=70&sm=fit&sfrm=jpg&yocs=F_J_,$6.00,null
Face Mist,Soothing Aloe Facial Mist,null,Hydrating facial spray to refresh makeup and skin,null,null,$8.00
Face Mist,Stay All Night Micro-Fine Setting Mist,null,Lightweight setting spray for long-lasting makeup,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw01a9f9ba/2020/82805_FCSPR_OpenA_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$10.00,null
Face Mist,Dewy Coconut Setting Mist,null,Coconut-infused makeup setting spray for dewy skin,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw90142b04/2020/83810_FCSPR_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$10.00,null
Face Mist,Hydrating Coconut Mist,null,Vitamin-infused facial mist renews & soothes skin,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw6ffec3b5/2022/HolyHydration!NewPackaging/57310_SCMST_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$8.00,null
Face Mist,Stay All Day Blue Light Micro-Setting Mist,null,Facial mist spray absorbs blue light & sets makeup,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw22f75015/2021/82876_OpenA_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$10.00,null
Eye Care,Eye Care Set,null,3 eye care products & tools for delicate skin,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw2dfd4258/2022/Vday Bundles/02XX22_PDP_VDAY_Bundle_1.jpg?sw=150&sh=150&sm=fit&sfrm=jpg&strip=false&yocs=F_J_,$21.00,null
Eye Care,HYDROGEL UNDER EYE MASKS- SET OF 3,null,Under-eye masks to moisturize & soothe skin,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw006d3732/2022/HolyHydration!NewPackaging/57078-HH!Hydro-GelUndereyeMasks/elf.com/57078_SCMSK_InPack_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$8.00,null
Eye Care,Charcoal Hydrogel Under Eye Masks,null,Hydrating & soothing charcoal under eye masks,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw00f03cdd/57303_CharcoalUnderEyeMask_product2.jpg?sw=150&sh=150&sm=fit&sfrm=jpg&strip=false&yocs=F_J_,$8.00,null
Eye Care,50 mg CBD Eye Cream,null,CBD eye cream to plump delicate under-eye skin,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw10cb174f/2020/57352_SCMOI_OpenA_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$15.00,null
Eye Care,Holy Hydration! Eye Cream,null,Rich hydrating eye cream to minimize dark circles,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw73edcbbf/2020/HH/57014_SCMOI_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=jpeg&strip=false&yocs=F_J_,$10.00,null
Eye Care,Game Up Rez-Me Awakening Eye Cream,null,"Rich, hydrating eye cream with Hyaluronic Acid",https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw091d314b/2022/GameUpCollection/84445_OpenA_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$5.00,null
Cleanser,Exfoliating Scrub,null,Gentle exfoliating scrub for your face.,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dwb20e4131/2021/57089_SCTRE_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$6.00,null
Cleanser,SuperClarify Gel Cleanser,null,Gentle & clarifying foaming cleanser,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dwf8ecb6bc/2022/SupersNewPackaging/82217_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$6.00,null
Cleanser,Bounce Back Jelly Cleanser,null,Gentle non-foaming face cleanser infused with coconut,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw7c47b37e/2022/HolyHydration!NewPackaging/57147_SCCLE_OpenA_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$6.00,null
Cleanser,Holy Hydration! Daily Cleanser,null,Gentle daily face cleanser with Hyaluronic Acid,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw5ccf5840/2022/HolyHydration!NewPackaging/59990_SCCLE_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$10.00,null
Cleanser,Pure Skin Cleanser,null,"Fragrance free, hydrating & gentle face cleanser for daily use",https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dwb5ac6120/2021/57530_OpenA_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$9.00,null
Cleanser,Blemish Breakthrough Acne Clarifying Cleanser,null,Blemish-fighting gel cleanser with Salicylic Acid,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw8acdce0c/2022/MayLaunches-Skin/57560_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$9.00,null
Mask,SuperSoothe Cica Mask,null,"Rich, lavender-scented gel face mask soothes skin",https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw8335e765/2022/SupersNewPackaging/82220_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$12.00,null
Mask,Beauty Shield Magnetic Mask Kit With Vitamin C,null,Vitamin-enhanced magnetic face mask,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dwdd72cf9d/57093_RechargingMagneticMasket_1020LidAwebA.jpg?sw=150&sh=150&sm=fit&sfrm=jpg&strip=false&yocs=F_J_,$24.00,null
Mask,Oil Control Pink Powder Mask,null,Absorbent Kaolin Clay powder mask for oily skin,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw1cc693aa/2020/57181_SCTRE_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$8.00,null
Mask,Holy Hydration! Sleeping Mask,null,Moisturizing & plumping dual-use sleep face mask,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw4d174a57/2021/59920_SCMSK_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,null,$8.00
Mask,Cookies 'N Dreams Milkshake Overnight Mask,null,Creamy whipped overnight face mask for soft skin,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dwe18ff260/2022/CookiesnDreams/82899_OpenA_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$9.00,null
